evaluation,selection,crossover,mutation,replacement,taxa_crossover,taxa_mutacao,n_elite,fitness,rota
distancia,torneio,two_point,scramble,elitismo,0.9,0.1,20,881.7825428428865,"[ 1 47 24 48  5 46 34 40 11 13  1 23  3 22 37 29 32  9 25 28  1 38 45 43
 20 41 42 44  8  1 10 51 36 27 49 15 14 19  1 33 39 50 31 16 18 26  7  1
  6 35 17 30 21  4  2 12  1]"
distancia,torneio,uniforme,swap,elitismo,1.0,0.3,10,680.9344120422494,"[ 1 17 22 30  3 27  8 44 25 24  7  1 14 42  6 10 51 31 11 50 39 12  1 21
 36 35 40 34 46 16 43 41 20  1 33  2 23  4 37 29 32  9 49 28  1 48 15 26
 19  5 18 45 38 13 47  1]"
distancia,torneio,uniforme,swap,elitismo,0.9,0.1,20,695.2071378467638,"[ 1  9 32 29  4 37 36 21 30 39  1 47  6 34 46 38  7 49  2 28  1 15 26 25
 17 22 35 51 10  1 24 44  8 27 23  3 12 33  1 48  5 43 20 41 42 14 19  1
 50 31 40 11 16 45 18 13  1]"
distancia,torneio,uniforme,inversao,elitismo,1.0,0.3,10,600.545237137223,"[ 1 24 25 15 26 14  5 18 45 38 13  1 48 19 42 41 20 43 46 16  6 47  1 33
 23  4 37 36 21 30 22 35 31  1 12  3 17 51 10 40 34 11 50 39  1  7 49 44
  8 27  9 32 29  2 28  1]"
distancia,torneio,uniforme,inversao,elitismo,0.9,0.1,20,543.2814632705101,"[ 1 15 26 14 42 41 20 43  5 19 48  1 49  9 29 32 27  8 24 44 25  7  1 12
 22 30 21 36 37  4 23  2 28  1 33  3 17 51 35 31 10 39 13 47  1  6 50 11
 40 34 46 16 45 38 18  1]"
distancia,torneio,uniforme,scramble,elitismo,1.0,0.3,10,784.6763864221962,"[ 1 49 12 50 40 46 16 43 20 41 42  1 47  2 21 36 37  9  8 44 25 24  1 15
 18 38 45 34 11 10 35 51 17  1 27 29 23  3  6 13 19 14 26  7  1 28 33 32
  4 30 22 31 39  5 48  1]"
distancia,torneio,uniforme,scramble,elitismo,0.9,0.1,20,842.2997176835494,"[ 1 19  5 42 26  7 24 44  9 33  1 13 31 40 16 45 41 18 38 48  1  3 51 22
 36 21 23 27 47  1  6 34 11 39 17 12  2 49  1 46 43 20 14 15 25  8 28  1
 32 29  4 37 30 35 10 50  1]"
rankeamento,roleta,two_point,swap,elitismo,1.0,0.3,10,658.8642244641494,"[ 1 50 10 22 36 37 32 27  8 24  7  1 47  3 30 21  4 29 23  9 49 28  1 13
  6 39 17 12 33  2 15 26 19  1 48  5 14 42 41 20 43 45 38 18  1 25 44 51
 35 31 11 40 34 46 16  1]"
rankeamento,roleta,two_point,swap,elitismo,0.9,0.1,20,754.4112782939342,"[ 1 37 36 30 20 41 42  3 21  4  1 19 14 26 15 25 44 32 29 23  1 48  5 43
 45 40 11 50 39  1  7 24  8 27  9 49  2 28  1 13 18 38 16 46 34  6 47  1
 12 10 31 35 22 51 17 33  1]"
rankeamento,roleta,two_point,inversao,elitismo,1.0,0.3,10,706.2740613330983,"[ 1  7 44  8 27 32  9 49  1 17 51 22 35 31 10  6  1 12  3 30 36 37 33  1
 28  2 23 29  4 21  1 34 40 11 50 39 47  1 18 45 46 16 38 13  1  5 43 20
 41 42 14  1 48 19 26 15 25 24  1]"
rankeamento,roleta,two_point,inversao,elitismo,0.9,0.1,20,702.1286648176714,"[ 1 39 40 34 46 16 38 13  1 17 51 22 30 21  3 33  1 45 43 20 41 42 14  1
 15 26 25 44  8 49  1  2 29 32 27  9 28  1 47 12 36 37  4 23  1  7 24 19
  5 18 48  1  6 50 11 31 35 10  1]"
rankeamento,roleta,two_point,scramble,elitismo,1.0,0.3,10,822.01398009608,"[ 1 34 12  3 21 29 32  9 23  2 33  1  6 50 10 17 31 40 46 18 19 26  1 11
 35 51 22 30 37 27  8 44 24  1 49 15 20 43 45 16 38 48 13 47  1 39 36  4
  7 25 14 41 42  5 28  1]"
rankeamento,roleta,two_point,scramble,elitismo,0.9,0.1,20,875.0138585731901,"[ 1 13 48 24  8  2 31 40 11 50  1 41 20 18 38 30 37  4 29 12  1 17 10 39
  6 46  5 26 25  1 33 21 36 23  9 27 44  7  1 47 28 49 32  3 22 35 51  1
 34 16 45 43 42 14 19 15  1]"
rankeamento,roleta,uniforme,swap,elitismo,1.0,0.3,10,583.3856535542379,"[ 1 49 27  8 44 25 24 28 39  6 47  1 12 17 51 22 30 21 36 37  4  3  1 13
 18 45 43 20 41 42 14 26 15  1 48  5 19  7  9 32 29 23  2 33  1 50 10 35
 31 11 40 34 46 16 38  1]"
rankeamento,roleta,uniforme,swap,elitismo,0.9,0.1,20,658.9648540604264,"[ 1  5 14 42 41 20 43 50 31 10 39  1 47 12  6 16 46 34 40 11 13 48  1 38
 45 18 26 25 44  8 24 49 28  1  3 30 21 29 32 27  9  7 15 19  1 33  2 23
 17 51 35 22 36 37  4  1]"
rankeamento,roleta,uniforme,inversao,elitismo,1.0,0.3,10,663.8704654560753,"[ 1 25 44  8 27 29 23  9 49 28  1 47  6 50 11 40 34 46 16 18  1 12 39 38
 45 43 20  5 13  1 48 19 42 41 14 26 15  7  1 24 32  4 37 36  3  2 33  1
 17 10 31 35 51 22 30 21  1]"
rankeamento,roleta,uniforme,inversao,elitismo,0.9,0.1,20,644.4644599582081,"[ 1 10 40 31 35 51 22 30 17  1 19 26 14 42 41 20  5  1  6 16 46 34 11 50
 39  1 47 13 38 45 43 18 48  1  9 27 32 29  4 23 33  1  7 15 25 44  8 24
 49  1 12  3 21 36 37  2 28  1]"
rankeamento,roleta,uniforme,scramble,elitismo,1.0,0.3,10,804.1834788496154,"[ 1 48 19 42 45 46 34 39 12  1 28  3 17 10 40 11 50  1 14 25 44 24  9 32
 29  1  2 23  4 37 36 21 33  1 15  5 20 41 43 16 47  1  7 49  8 26 18 38
 13  1  6 31 35 51 22 30 27  1]"
rankeamento,roleta,uniforme,scramble,elitismo,0.9,0.1,20,818.0812513581742,"[ 1 24 49  2 37 21 17 35 31 10 38  1 28 23 29 32 27 15 41 43 18 48  1  3
 22 36  9  8 44 25 26 19  7  1 14 42 20 16 12 33  4 30 51 39  1  6  5 45
 46 34 40 11 50 13 47  1]"
rankeamento,torneio,two_point,swap,elitismo,1.0,0.3,10,733.1025382527783,"[ 1 47 12 17 22 30  3  2 33  1 13 38 18  5 19 26 15  1 23 21 36 37  4 29
 32  1 11 46 34 40 31  9 27  1 42 20 50 10 35 51 39  1 28 49  8 44 25 24
  7  1  6 16 45 43 41 14 48  1]"
rankeamento,torneio,two_point,swap,elitismo,0.9,0.1,20,633.4818317986942,"[ 1 37 36 22 35 31 40 34 46 38 18  1 33 12 17  3 23  9 27 49  7 19  1 28
  2 32 29  4 21 30 51 10 39  1 15 25 44  8 24 26 14  5 48 13  1 42 41 20
 43 45 16 11 50  6 47  1]"
rankeamento,torneio,two_point,inversao,elitismo,1.0,0.3,10,697.8263718041675,"[ 1 17 51 22 35 10 50 39 47  1 32 27 44 25 15 26 19  1 11 31 40 34 46 16
 18  1 28 23  4 37 36 21 33  1  2 29  9  8 24 49  7  1  3 30 12  6 38  5
 48  1 14 42 41 20 43 45 13  1]"
rankeamento,torneio,two_point,inversao,elitismo,0.9,0.1,20,603.9971412922727,"[ 1 49  9 27 32 29 37 36  4 23  1 13 38 16 34 46 45 43  5 48  1  6 50 11
 40 31 10 39 47  1  3 21 30 22 35 51 17 12  1  7 25 44  8 24 28  2 33  1
 18 42 20 41 14 26 15 19  1]"
rankeamento,torneio,two_point,scramble,elitismo,1.0,0.3,10,804.3133710384766,"[ 1 28  2  4 27  8 44 24 15 26 14  1  7  9 12 39 17 22 34 48 19 47  1  3
 29 32 25 42 41 20 43 45  5  1 49 23 30 51 35 10 50  6 18 13  1 38 16 46
 11 40 31 36 37 21 33  1]"
rankeamento,torneio,two_point,scramble,elitismo,0.9,0.1,20,913.8255283405373,"[ 1  6 34 46 38 19  9 27 29 36 22  1 14 41 43 18 40 51 30  8 25 48  1 42
 20 45 50 11 31 35 10 17  3  1 33  2 23  4 37 32 49  7 28 12  1 24 44 15
 26  5 16 13 39 21 47  1]"
rankeamento,torneio,uniforme,swap,elitismo,1.0,0.3,10,708.0067062169793,"[ 1  9 27 32 16 46 34 40 36 37 21  1 25 44  8 24 49 50 11 31 10 47  1 23
 29  4 39  6 38 45 18 48 13  1  7 15 26 14 42 41 20 43  5 19  1 33 12 17
 51 35 22 30  3  2 28  1]"
rankeamento,torneio,uniforme,swap,elitismo,0.9,0.1,20,672.7624758707911,"[ 1 48 13 33  4 37 36 21  3 47  1 24 44  8 30 22 35 51 17 12  1 19  5 18
 38 16 11 50  6  1  7 25 15 20 41 42 14 26  1 39 10 31 40 34 46 45 43  1
  2 23 29 32 27  9 49 28  1]"
rankeamento,torneio,uniforme,inversao,elitismo,1.0,0.3,10,647.8719664285268,"[ 1  5 14 42 41 20 43 12 33  2  1  3 21 36 30 22 17 51 10 39  1  7 15 26
 25 44  8 24 28  1  6 11 46 34 40 31 35 50  1 23  4 37 29 32 27  9 49  1
 47 13 38 16 45 18 19 48  1]"
rankeamento,torneio,uniforme,inversao,elitismo,0.9,0.1,20,573.8405600249203,"[ 1  2 23 29 32  9 27  8 24 49 28  1 33  3 21  4 37 36 30 17 12 47  1 39
 10 51 22 35 31 40 50  6 13  1 38 18 20 41 43 45 16 46 34 11  1  7 44 25
 15 26 14 42  5 19 48  1]"
rankeamento,torneio,uniforme,scramble,elitismo,1.0,0.3,10,827.8937979707679,"[ 1 25 44 32 29  4 36 35 31 39 48  1 38 18  5 19  7 49  8 27  9 23  1 17
 22 51 50 34 46 16  6 15 24  1 28 33  3 37 30 12 13 42 14 26  1 20 41 43
 45 40 11 10 21  2 47  1]"
rankeamento,torneio,uniforme,scramble,elitismo,0.9,0.1,20,871.7185325043238,"[ 1  8 44 25 42 41 20 43  5 28  1 49  2 23 37  3 17 50  6 48  1 15 14 45
 16 46 35 36 32  1 26 19 18 38 10 51 39 13  1 33 30 21 29  9 27 24  7  1
 12  4 22 31 40 34 11 47  1]"
