=== Log do EVRP - Instância Modificatification of E-n23-k3 instance. Modified by Mavrovouniotis Menelaou. ===
Clientes: 22
Veículos mínimos: 3

=== Histórico de Melhores Distâncias ===
Geração 281: 621.25
Geração 282: 621.25
Geração 283: 618.67
Geração 284: 618.67
Geração 285: 618.67
Geração 286: 618.67
Geração 287: 618.67
Geração 288: 618.67
Geração 289: 618.67
Geração 290: 618.67
Geração 291: 618.67
Geração 292: 618.67
Geração 293: 618.67
Geração 294: 618.67
Geração 295: 618.67
Geração 296: 618.67
Geração 297: 618.67
Geração 298: 618.67
Geração 299: 618.67
Geração 300: 618.67
Geração 301: 618.67
Geração 302: 618.67
Geração 303: 618.67
Geração 304: 618.67
Geração 305: 618.67
Geração 306: 618.67
Geração 307: 618.67
Geração 308: 618.67
Geração 309: 618.67
Geração 310: 618.67
Geração 311: 618.67
Geração 312: 618.67
Geração 313: 618.67
Geração 314: 618.67
Geração 315: 618.67
Geração 316: 618.67
Geração 317: 618.67
Geração 318: 618.67
Geração 319: 618.67
Geração 320: 618.67
Geração 321: 618.67
Geração 322: 618.67
Geração 323: 618.67
Geração 324: 618.67
Geração 325: 618.67
Geração 326: 618.67
Geração 327: 618.67
Geração 328: 618.67
Geração 329: 618.67
Geração 330: 618.67
Geração 331: 618.67
Geração 332: 618.67
Geração 333: 618.67
Geração 334: 618.67
Geração 335: 618.67
Geração 336: 618.67
Geração 337: 618.67
Geração 338: 618.67
Geração 339: 618.67
Geração 340: 618.67
Geração 341: 618.67
Geração 342: 618.67
Geração 343: 618.67
Geração 344: 618.67
Geração 345: 618.67
Geração 346: 618.67
Geração 347: 618.67
Geração 348: 618.67
Geração 349: 618.67
Geração 350: 618.67
Geração 351: 618.67
Geração 352: 618.67
Geração 353: 618.67
Geração 354: 618.67
Geração 355: 618.67
Geração 356: 618.67
Geração 357: 618.67
Geração 358: 618.67
Geração 359: 618.67
Geração 360: 618.67
Geração 361: 618.67
Geração 362: 618.67
Geração 363: 618.67
Geração 364: 618.67
Geração 365: 618.67
Geração 366: 618.67
Geração 367: 618.67
Geração 368: 618.67
Geração 369: 618.67
Geração 370: 618.67
Geração 371: 618.67
Geração 372: 618.67
Geração 373: 618.67
Geração 374: 618.67
Geração 375: 618.67
Geração 376: 618.67
Geração 377: 618.67
Geração 378: 618.67
Geração 379: 618.67
Geração 380: 618.67
Geração 381: 618.67
Geração 382: 618.67
Geração 383: 618.67
Geração 384: 618.67
Geração 385: 618.67
Geração 386: 618.67
Geração 387: 618.67
Geração 388: 618.67
Geração 389: 618.67
Geração 390: 618.67
Geração 391: 618.67
Geração 392: 618.67
Geração 393: 618.67
Geração 394: 618.67
Geração 395: 618.67
Geração 396: 618.67
Geração 397: 618.67
Geração 398: 618.67
Geração 399: 618.67
Geração 400: 618.67
Geração 401: 618.67
Geração 402: 618.67
Geração 403: 618.67
Geração 404: 618.67
Geração 405: 618.67
Geração 406: 618.67
Geração 407: 618.67
Geração 408: 618.67
Geração 409: 618.67
Geração 410: 618.67
Geração 411: 618.67
Geração 412: 618.67
Geração 413: 618.67
Geração 414: 618.67
Geração 415: 618.67
Geração 416: 618.67
Geração 417: 618.67
Geração 418: 618.67
Geração 419: 618.67
Geração 420: 618.67
Geração 421: 618.67
Geração 422: 618.67
Geração 423: 618.67
Geração 424: 618.67
Geração 425: 618.67
Geração 426: 618.67
Geração 427: 618.67
Geração 428: 618.67
Geração 429: 618.67
Geração 430: 618.67
Geração 431: 618.67
Geração 432: 618.67
Geração 433: 618.67
Geração 434: 618.67
Geração 435: 618.67
Geração 436: 618.67
Geração 437: 618.67
Geração 438: 618.67
Geração 439: 618.67
Geração 440: 618.67
Geração 441: 618.67
Geração 442: 618.67
Geração 443: 618.67
Geração 444: 618.67
Geração 445: 618.67
Geração 446: 618.67
Geração 447: 618.67
Geração 448: 618.67
Geração 449: 618.67
Geração 450: 618.67
Geração 451: 618.67
Geração 452: 618.67
Geração 453: 618.67
Geração 454: 618.67
Geração 455: 618.67
Geração 456: 618.67
Geração 457: 618.67
Geração 458: 618.67
Geração 459: 618.67
Geração 460: 618.67
Geração 461: 618.67
Geração 462: 618.67
Geração 463: 618.67
Geração 464: 618.67
Geração 465: 618.67
Geração 466: 618.67
Geração 467: 618.67
Geração 468: 618.67
Geração 469: 618.67
Geração 470: 618.67
Geração 471: 618.67
Geração 472: 618.67
Geração 473: 618.67
Geração 474: 618.67
Geração 475: 618.67
Geração 476: 618.67
Geração 477: 618.67
Geração 478: 618.67
Geração 479: 618.67
Geração 480: 618.67
Geração 481: 618.67
Geração 482: 618.67
Geração 483: 618.67
Geração 484: 618.67
Geração 485: 618.67
Geração 486: 618.67
Geração 487: 618.67
Geração 488: 618.67
Geração 489: 618.67
Geração 490: 618.67
Geração 491: 618.67
Geração 492: 618.67
Geração 493: 618.67
Geração 494: 618.67
Geração 495: 618.67
Geração 496: 618.67
Geração 497: 618.67
Geração 498: 618.67
Geração 499: 618.67
Geração 500: 618.67
Geração 501: 618.67
Geração 502: 618.67
Geração 503: 618.67
Geração 504: 618.67
Geração 505: 618.67
Geração 506: 618.67
Geração 507: 618.67
Geração 508: 618.67
Geração 509: 618.67
Geração 510: 618.67
Geração 511: 618.67
Geração 512: 618.67
Geração 513: 618.67
Geração 514: 618.67
Geração 515: 618.67
Geração 516: 618.67
Geração 517: 618.67
Geração 518: 618.67
Geração 519: 618.67
Geração 520: 618.67
Geração 521: 618.67
Geração 522: 618.67
Geração 523: 618.67
Geração 524: 618.67
Geração 525: 618.67
Geração 526: 618.67
Geração 527: 618.67
Geração 528: 618.67
Geração 529: 618.67
Geração 530: 618.67
Geração 531: 618.67
Geração 532: 618.67
Geração 533: 618.67
Geração 534: 618.67
Geração 535: 618.67
Geração 536: 618.67
Geração 537: 618.67
Geração 538: 618.67
Geração 539: 618.67
Geração 540: 618.67
Geração 541: 618.67
Geração 542: 618.67
Geração 543: 618.67
Geração 544: 618.67
Geração 545: 618.67
Geração 546: 618.67
Geração 547: 618.67
Geração 548: 618.67
Geração 549: 618.67
Geração 550: 618.67
Geração 551: 618.67
Geração 552: 618.67
Geração 553: 618.67
Geração 554: 618.67
Geração 555: 618.67
Geração 556: 618.67
Geração 557: 618.67
Geração 558: 618.67
Geração 559: 618.67
Geração 560: 618.67
Geração 561: 618.67
Geração 562: 618.67
Geração 563: 618.67
Geração 564: 618.67
Geração 565: 618.67
