100,1798.1218852822756,Populacao,uniforme,scramble
100,1367.5218558255679,Crossover,uniforme,scramble
100,1297.2557236979815,Mutacao,uniforme,scramble
125,1295.4412473485158,Crossover,uniforme,scramble
150,1168.2165983641632,Crossover,uniforme,scramble
195,1149.1423913809392,Crossover,uniforme,scramble
210,1136.9165496993976,Mutacao,uniforme,scramble
225,1131.5262854379,Mutacao,uniforme,scramble
240,1118.7022142672251,Mutacao,uniforme,scramble
255,1106.2398790153632,Crossover,uniforme,scramble
270,1059.2525998877684,Crossover,uniforme,scramble
360,1050.4484927596177,Mutacao,uniforme,scramble
375,1027.086635112297,Crossover,uniforme,scramble
405,965.5230458996652,Mutacao,uniforme,scramble
585,962.7212233047537,Crossover,uniforme,scramble
585,954.6873840479964,Mutacao,uniforme,scramble
630,929.9891525637881,Mutacao,uniforme,scramble
675,927.2910919050244,Crossover,uniforme,scramble
765,920.5767954502047,Mutacao,uniforme,scramble
780,917.8787347914409,Crossover,uniforme,scramble
795,888.3517608117215,Crossover,uniforme,scramble
795,876.813493501323,Mutacao,uniforme,scramble
810,859.7623456894372,Crossover,uniforme,scramble
870,848.5124912055303,Mutacao,uniforme,scramble
900,842.236690071717,Crossover,uniforme,scramble
900,828.1007785993158,Mutacao,uniforme,scramble
930,819.6945059206444,Crossover,uniforme,scramble
1410,800.1998505048739,Mutacao,uniforme,scramble
1830,778.6560508472481,Crossover,uniforme,scramble
1890,755.173290635065,Mutacao,uniforme,scramble
8085,749.3278823587511,Mutacao,one_point,insercao
9030,746.367532020184,Mutacao,OX,scramble
9225,708.0223022817894,Mutacao,OX,scramble
10225,698.9489519222894,Mutacao,uniforme,inversao
10420,677.8637230692566,Mutacao,uniforme,inversao
11065,664.1932932246627,Mutacao,uniforme,inversao
12660,637.6716979180754,Mutacao,one_point,scramble
21885,624.6783421117707,Mutacao,OX,swap
35215,623.7227356189012,Mutacao,uniforme,insercao
244770,621.9228439488587,Mutacao,OX,inversao
