50,1131.7856394758398,Populacao Atual
50,1093.1785983038924,Crossover
100,1037.7394092371226,Crossover
150,1027.7252480520424,Crossover
200,997.5908023082709,Crossover
250,947.3120293127349,Crossover
350,940.0294816428705,Crossover
400,931.583420779519,Mutacao
450,920.2413736872719,Crossover
500,911.0324628349306,Crossover
550,910.9878195611839,Crossover
650,904.6677565835612,Crossover
700,874.9999043067369,Mutacao
750,870.0405211810548,Mutacao
800,862.9578500567992,Crossover
850,852.9512327958982,Crossover
900,850.5966104554673,Crossover
900,819.9413628177094,Mutacao
1000,787.3623969724256,Crossover
1050,784.4967267754687,Mutacao
1250,760.8805431950577,Mutacao
1550,756.7878112955746,Mutacao
1750,709.490850670652,Mutacao
2100,703.4766471127164,Mutacao
2300,696.5681192283475,Mutacao
2600,676.1165466650841,Mutacao
3150,676.116546665084,Mutacao
3250,671.2701807623373,Mutacao
3350,671.2701807623372,Crossover
4100,669.1372174137801,Mutacao
4150,654.9575977027747,Crossover
4200,644.7184565360037,Crossover
6150,643.5281448418623,Mutacao
6400,630.1392954337523,Mutacao
