50,1133.3747254076,Populacao,uniforme,scramble
260,998.6548647731664,Crossover,uniforme,scramble
365,976.4897751191096,Crossover,uniforme,scramble
470,964.0247080860705,Crossover,uniforme,scramble
575,925.4283802140421,Crossover,uniforme,scramble
855,897.5773149338848,Crossover,uniforme,scramble
890,873.1436818791581,Crossover,uniforme,scramble
925,860.3836753137881,Crossover,uniforme,scramble
1380,844.2002150109852,Crossover,uniforme,scramble
1415,841.4277208042142,Crossover,uniforme,scramble
1520,840.6271787276253,Crossover,uniforme,scramble
2360,838.8272870575827,Mutacao,uniforme,scramble
2570,837.3484074914188,Mutacao,uniforme,scramble
3095,828.7091749601736,Mutacao,uniforme,scramble
4635,798.5514541397486,Mutacao,uniforme,scramble
5090,796.7002768725406,Mutacao,uniforme,scramble
5650,789.1420233492963,Mutacao,uniforme,scramble
7260,768.2479845588166,Mutacao,uniforme,scramble
16675,745.5697177978261,Mutacao,uniforme,scramble
17725,720.3179883568778,Mutacao,uniforme,scramble
19160,703.8270107450503,Mutacao,uniforme,scramble
19265,702.9354955171384,Crossover,uniforme,scramble
22310,702.9150229202025,Mutacao,uniforme,scramble
30080,696.8206353447058,Mutacao,uniforme,scramble
51360,692.2780117917375,Mutacao,uniforme,scramble
56680,690.4781201216952,Mutacao,uniforme,scramble
232150,687.9616490829103,Mutacao,two_point,inversao
232885,666.5306236288006,Mutacao,two_point,inversao
233340,648.7713142428101,Mutacao,two_point,inversao
233865,642.5917426856086,Mutacao,two_point,inversao
234705,638.9304300681324,Mutacao,two_point,inversao
235930,636.8447730196335,Mutacao,two_point,inversao
237260,624.6195113437602,Mutacao,two_point,inversao
269705,624.6195113437601,Mutacao,two_point,inversao
412450,624.2880367104916,Mutacao,one_point,insercao
